"year","age","racehisp","degree","eqwlth","conlegis"
2010,36,"Hispanic","High School",1,"Only Some"
2010,23,"Hispanic","High School",2,"Hardly Any"
2010,20,"Hispanic","High School",1,"Only Some"
2010,62,"White","High School",NA,NA
2010,56,"White","High School",6,"A Great Deal"
2010,21,"White","High School",NA,NA
2010,25,"Hispanic","Bachelor",1,"A Great Deal"
2010,24,"White","High School",NA,NA
2010,30,"White","Bachelor",3,"A Great Deal"
2010,68,"White","High School",NA,NA
2010,25,"White","Bachelor",NA,NA
2010,67,"White","High School",3,"Hardly Any"
2010,52,"White","Bachelor",7,"Hardly Any"
2010,53,"White","High School",1,"Only Some"
2010,58,"White","Bachelor",NA,NA
2010,32,"White","Bachelor",3,"Only Some"
2010,58,"White","Graduate",1,"Only Some"
2010,43,"White","Bachelor",3,"Hardly Any"
2010,57,"White","Less Than High School",3,NA
2010,23,"Black","High School",NA,NA
2010,31,"Black","High School",4,"Only Some"
2010,46,"White","High School",NA,NA
2010,77,"White","Graduate",2,"Hardly Any"
2010,25,"White","High School",NA,NA
2010,49,"White","Bachelor",3,"Only Some"
2010,44,"White","High School",4,"Only Some"
2010,39,"White","High School",5,"Only Some"
2010,54,"White","High School",4,"Only Some"
2010,56,"White","High School",NA,NA
2010,56,"Black","Bachelor",7,"Only Some"
2010,34,"White","Bachelor",NA,NA
2010,30,"Black","High School",3,"Only Some"
2010,42,"White","Junior College",2,"Only Some"
