"age","born","opwlth","oppared","opeduc","opclout","oprace","oprelig","opsex","yearsusa","ophrdwrk_essential","opknow_essential"
27,"Native","Not Very Important","Not Very Important","Fairly Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,1,1
23,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Immigrant",NA,NA,NA,NA,NA,NA,NA,25,NA,NA
29,"Immigrant",NA,NA,NA,NA,NA,NA,NA,3,NA,NA
31,"Native","Essential","Essential","Essential","Essential","Essential","Essential","Essential",NA,1,1
39,"Native","Not Very Important","Fairly Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
48,"Native","Not Very Important","Fairly Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
66,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Immigrant",NA,NA,NA,NA,NA,NA,NA,35,NA,NA
69,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Native","Fairly Important","Very Important","Very Important","Not Very Important","Fairly Important","Not Very Important","Very Important",NA,0,0
81,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,33,NA,NA
57,"Native","Not Very Important","Very Important","Essential","Not Important At All","Not Important At All","Not Very Important","Not Important At All",NA,0,0
43,"Immigrant","Very Important","Very Important","Very Important","Very Important","Very Important","Fairly Important","Very Important",42,0,1
37,"Immigrant",NA,NA,NA,NA,NA,NA,NA,16,NA,NA
42,"Immigrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"Immigrant","Not Very Important","Not Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",41,1,0
