"cz_id","cz_name","state","population_2000","mobility","urban","frac_black","racial_seg","income_seg","poverty_seg","affluence_seg","commute15min","hh_income","gini","top1pc_share","local_tax_rate","local_govt_expenditures","school_expenditures_per_student","test_score_percentile_adj","hs_dropout_rate_adj","number_of_colleges","college_grad_rate_adj","labor_force_participation_rate","manufacturing_employment_share","migration_inflow","migration_outflow","frac_foreign_born","social_capital_index","frac_religion","violent_crime_rate","frac_children_single_mothers","frac_adults_divorced","frac_adults_married","income_growth_06_10","drop_this_column","cz_state"
8701,"Hinesville","GA",131279,37,1,0.337,0.076,0.02,0.025,0.018,0.413,23378,0.378,7.735,0.022,1454,5.188,-3.211,0.022,0.008,0.239,0.618,0.127,0.037,0.052,0.048,-3.199,0.355,0.002,0.231,0.091,0.579,0.003,NA,"Hinesville, GA"
1202,"Sylva","NC",54082,40.6,0,0.014,0.326,0.016,0.02,0.014,0.412,28767,0.404,8.421,0.015,1581,5.622,3.849,0.022,0.037,0.112,0.609,0.106,0.01,0.01,0.015,-1.001,0.409,0.002,0.217,0.099,0.582,-0.008,NA,"Sylva, NC"
13102,"Madison","IN",49985,40.8,1,0.013,0.032,0.012,0.019,0.006,0.411,31205,0.355,6.725,0.018,2190,6.341,-0.717,0.008,0.04,-0.044,0.644,0.272,0.021,0.019,0.013,0.462,0.504,0.001,0.205,0.123,0.586,-0.003,NA,"Madison, IN"
18100,"Elmira","NY",346894,44.2,1,0.03,0.158,0.048,0.048,0.046,0.411,32548,0.416,10.805,0.033,2590,8.67,0.774,-0.002,0.023,0.266,0.615,0.175,0.012,0.015,0.042,0.5,0.396,0.001,0.222,0.092,0.516,0.001,NA,"Elmira, NY"
32201,"Huntsville","TX",191792,41.6,0,0.195,0.124,0.037,0.036,0.034,0.411,25251,0.505,13.918,0.021,2423,5.359,4.851,-0.01,0.01,0.012,0.517,0.129,0.021,0.024,0.052,-1.386,0.521,0.001,0.224,0.085,0.601,-0.008,NA,"Huntsville, TX"
4702,"Clarksdale","MS",141711,34.2,0,0.479,0.141,0.022,0.022,0.023,0.41,25222,0.52,12.888,0.016,1928,4.294,-17.675,-0.001,0.014,0.21,0.553,0.175,0.013,0.016,0.011,-0.761,0.444,0.001,0.357,0.083,0.449,-0.012,NA,"Clarksdale, MS"
8601,"Waycross","GA",113122,37.6,0,0.232,0.113,0.029,0.025,0.032,0.41,26639,0.461,8.311,0.02,2426,5.889,-2.098,0.047,0.027,-0.152,0.574,0.216,0.009,0.008,0.037,-2.103,0.502,0.002,0.24,0.104,0.584,-0.011,NA,"Waycross, GA"
24200,"Bourbonnais","IL",135167,42.6,1,0.12,0.337,0.045,0.047,0.045,0.41,35849,0.355,8.544,0.017,1632,4.785,3.27,0.002,0.015,0.062,0.649,0.166,0.025,0.017,0.032,0.25,0.497,NA,0.221,0.093,0.563,-0.009,NA,"Bourbonnais, IL"
9702,"Americus","GA",65826,34.5,1,0.493,0.074,0.014,0.011,0.009,0.409,27083,0.519,13.18,0.02,1976,5.941,-10.217,0.073,0.03,0.037,0.575,0.219,0.01,0.015,0.023,-1.582,0.39,0.003,0.36,0.092,0.475,-0.029,NA,"Americus, GA"
11102,"Troy","AL",80901,42.2,0,0.232,0.129,0.016,0.013,0.015,0.409,28445,0.527,14.481,0.01,2188,4.635,-10.041,0.006,0.037,0.016,0.572,0.171,0.016,0.016,0.01,-1.275,0.606,0.003,0.262,0.098,0.55,-0.006,NA,"Troy, AL"
9302,"Toccoa","GA",89228,38.1,0,0.174,0.088,0.012,0.013,0.011,0.407,29484,0.41,8.902,0.019,1785,5.148,0.165,0.029,0.022,0.205,0.602,0.297,0.012,0.011,0.015,-1.002,0.63,0.001,0.215,0.096,0.588,-0.013,NA,"Toccoa, GA"
12001,"Big Rapids","MI",120045,41.5,0,0.024,0.119,0.022,0.026,0.019,0.407,30109,0.371,7.829,0.029,1751,6.059,1.666,NA,0.017,0.048,0.603,0.233,0.02,0.016,0.015,0.068,0.326,0.002,0.205,0.105,0.583,-0.013,NA,"Big Rapids, MI"
20700,"Keene","NH",118041,43.2,0,0.004,0.024,0.025,0.03,0.023,0.407,37048,0.478,24.837,0.042,1856,8.513,1.881,0.015,0.017,0.059,0.693,0.159,0.024,0.017,0.025,0.684,0.293,0.001,0.199,0.107,0.545,0.002,NA,"Keene, NH"
25500,"Centralia","IL",141040,44.9,1,0.044,0.172,0.036,0.035,0.036,0.407,33265,0.351,9.007,0.015,1687,4.316,4.951,0.009,0.014,0.057,0.625,0.187,0.01,0.012,0.009,0.998,0.649,NA,0.182,0.097,0.606,0,NA,"Centralia, IL"
