"name","public","tier","test_band_tier","par_income_lab","rel_attend_sat","rel_attend","par_top1pc","par_q1","par_q2","par_q3","par_q4","par_q5","par_median"
"Franklin & Marshall College","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",4.2166023,8.244957,0.17466341,0.029516095,0.045450825,0.088728502,0.11662287,0.71968186,212100
"George Washington University","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",2.5700734,6.0780745,0.14009148,0.024965886,0.051312659,0.088097855,0.13795748,0.69766611,182200
"Georgetown University","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",2.6511328,10.800277,0.20837469,0.031137511,0.039507821,0.063941687,0.12634784,0.73906505,229100
"Georgia Institute Of Technology","Public","Highly selective public","Other Top 100 Public","Top 1",0.76851559,2.5297079,0.032154702,0.045528941,0.06893035,0.10407723,0.19612667,0.5853368,130000
"Gonzaga University","Private","Highly selective private","Other Top 100 Private","Top 1",2.138659,3.0580957,0.057913456,0.022646017,0.039595664,0.078128919,0.18589085,0.67373854,152800
"Hamilton College","Private","Other elite schools (public and private)","NESCAC","Top 1",3.1316657,9.4905405,0.19554551,0.021867644,0.043355525,0.073054969,0.14092234,0.72079957,208600
"Harvard University","Private","Ivy Plus","Ivy Plus","Top 1",1.5416101,7.8841934,0.1507286,0.045289241,0.071358442,0.08757095,0.12136945,0.67441189,168800
"Haverford College","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",1.970414,8.0520458,0.13762045,0.037091993,0.06514781,0.083880395,0.14308341,0.67079645,168700
"Howard University","Private","Selective private","Other Top 100 Private","Top 1",0.33164462,0.36910245,0.0045927186,0.10366783,0.16897637,0.1950762,0.239043,0.29323649,68300
"Johns Hopkins University","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",1.4518782,6.3007388,0.11484687,0.028634718,0.037373483,0.078515187,0.13351655,0.72196019,177300
