"id","year","hrs1","class","region","racehisp"
913,2012,48,"Working","Midwest","Other"
914,2012,40,"Middle","Midwest","Black"
915,2012,52,"Working","Midwest","White"
917,2012,15,"Working","Midwest","White"
921,2012,35,"Working","Midwest","White"
923,2012,40,"Middle","West","White"
926,2012,45,"Working","West","Black"
927,2012,38,"Lower","West","White"
928,2012,32,"Working","West","White"
930,2012,10,"Working","West","White"
931,2012,60,"Middle","West","White"
932,2012,50,"Working","West","White"
933,2012,43,"Working","West","Hispanic"
934,2012,40,"Working","West","White"
935,2012,40,"Working","West","Hispanic"
936,2012,12,"Working","West","Black"
938,2012,40,"Working","West","White"
940,2012,41,"Lower","West","White"
941,2012,55,"Working","West","White"
942,2012,60,"Middle","West","White"
943,2012,21,"Working","Midwest","Black"
944,2012,40,"Working","Midwest","White"
946,2012,4,"Working","Midwest","White"
947,2012,50,"Middle","Midwest","Black"
948,2012,50,"Middle","Midwest","White"
952,2012,40,"Middle","Midwest","White"
954,2012,40,"Middle","Midwest","Hispanic"
956,2012,32,"Middle","Midwest","White"
957,2012,43,"Working","Midwest","White"
961,2012,35,"Middle","Midwest","White"
962,2012,4,"Middle","Midwest","White"
963,2012,15,"Middle","Midwest","White"
964,2012,50,"Middle","Midwest","White"
965,2012,55,"Middle","Midwest","White"
966,2012,8,"Working","West","Hispanic"
968,2012,39,"Working","West","Hispanic"
969,2012,37,"Middle","West","White"
971,2012,40,"Middle","West","Other"
973,2012,40,"Middle","West","White"
974,2012,20,"Middle","West","White"
975,2012,60,"Working","West","White"
976,2012,5,"Middle","West","White"
977,2012,40,"Middle","West","White"
978,2012,20,"Working","West","White"
981,2012,60,"Working","Midwest","White"
982,2012,68,"Middle","Midwest","White"
983,2012,40,"Working","Midwest","White"
984,2012,45,"Middle","Midwest","White"
985,2012,45,"Working","Midwest","White"
987,2012,45,"Middle","Midwest","White"
988,2012,40,"Lower","Midwest","White"
992,2012,40,"Middle","Midwest","Black"
993,2012,70,"Middle","Midwest","White"
994,2012,60,"Working","Midwest","White"
996,2012,50,"Working","Midwest","White"
998,2012,50,"Middle","Midwest","White"
1000,2012,40,"Working","New England","White"
1001,2012,50,"Working","New England","White"
1003,2012,36,"Working","New England","Hispanic"
1004,2012,42,"Working","New England","White"
1007,2012,20,"Working","New England","White"
1008,2012,25,"Working","New England","White"
1010,2012,12,"Working","New England","White"
1011,2012,55,"Middle","New England","White"
1012,2012,40,"Middle","New England","White"
1015,2012,59,"Working","New England","White"
1016,2012,40,"Middle","New England","White"
1017,2012,40,"Middle","New England","White"
1018,2012,32,"Middle","New England","White"
1021,2012,50,"Middle","New England","White"
1024,2012,65,"Middle","Middle Atlantic","White"
1025,2012,40,"Working","Middle Atlantic","Other"
1026,2012,52,"Middle","Middle Atlantic","White"
1027,2012,50,"Middle","Middle Atlantic","White"
1028,2012,38,"Middle","Middle Atlantic","White"
1032,2012,45,"Middle","Middle Atlantic","White"
1033,2012,35,"Middle","Middle Atlantic","White"
1034,2012,30,"Working","Middle Atlantic","White"
1036,2012,40,"Middle","Middle Atlantic","White"
